County,Fips,Casey18,Barletta18,Total18,CaseyPct18,CaseyMargin18,Casey12,Smith12,Total12,CaseyPct12,CaseyMargin12,CaseySwing1218,ClintonPct,ObamaPct
Adams,42001,14880,23419,39102,0.3810,-0.218,15763,25467,42232,0.3730,-0.2300,0.0073,0.2960,0.3554
Allegheny,42003,355907,176351,541703,0.6570,0.331,362459,236546,611111,0.5930,0.2060,0.0639,0.5580,0.5669
Armstrong,42005,8570,15449,24488,0.3500,-0.281,9496,19442,29512,0.3220,-0.3370,0.0282,0.2250,0.3056
Beaver,42007,34442,31916,67642,0.5090,0.037,39970,38092,79763,0.5010,0.0240,0.0081,0.3850,0.4605
Bedford,42009,4567,14044,18823,0.2430,-0.503,5553,15673,21573,0.2570,-0.4690,-0.0148,0.1540,0.2207
Berks,42011,73714,68159,144533,0.5100,0.038,84403,78679,165991,0.5080,0.0340,0.0015,0.4250,0.4874
Blair,42013,14599,27826,43165,0.3380,-0.306,17424,31666,50187,0.3470,-0.2840,-0.0090,0.2520,0.3240
Bradford,42015,6926,13032,20328,0.3410,-0.3,8234,14423,23238,0.3540,-0.2660,-0.0136,0.2440,0.3681
Bucks,42017,165408,124133,294317,0.5620,0.14,162258,147595,314156,0.5160,0.0470,0.0455,0.4840,0.5000
Butler,42019,31010,46875,79495,0.3900,-0.2,30620,56320,88691,0.3450,-0.2900,0.0448,0.2890,0.3192
Cambria,42021,21590,27367,49607,0.4350,-0.116,28779,30202,60311,0.4770,-0.0240,-0.0420,0.2930,0.4006
Cameron,42023,653,1080,1765,0.3700,-0.242,767,1277,2113,0.3630,-0.2410,0.0070,0.2320,0.3430
Carbon,42025,8739,13519,22574,0.3870,-0.212,11924,12758,25271,0.4720,-0.0330,-0.0847,0.3080,0.4527
Centre,42027,34778,24332,60664,0.5730,0.172,34156,32112,68480,0.4990,0.0300,0.0745,0.4780,0.4909
Chester,42029,140138,92380,236718,0.5920,0.202,125671,119296,249565,0.5040,0.0260,0.0884,0.5180,0.4934
Clarion,42031,4924,8838,14031,0.3510,-0.279,5105,10451,16141,0.3160,-0.3310,0.0347,0.2420,0.3124
Clearfield,42033,9540,16852,26803,0.3560,-0.273,11286,19845,31844,0.3540,-0.2690,0.0015,0.2370,0.3479
Clinton,42035,5289,6869,12378,0.4270,-0.128,5857,7020,13172,0.4450,-0.0880,-0.0174,0.3060,0.4323
Columbia,42037,8837,13437,22638,0.3900,-0.203,11336,13509,25437,0.4460,-0.0850,-0.0553,0.3100,0.4268
Crawford,42039,11720,17813,30035,0.3900,-0.203,13146,21140,35213,0.3730,-0.2270,0.0169,0.2850,0.3923
Cumberland,42041,47738,54525,104400,0.4570,-0.065,46294,61296,110035,0.4210,-0.1360,0.0365,0.3790,0.4004
Dauphin,42043,59533,47152,108708,0.5480,0.114,65235,53649,120610,0.5410,0.0960,0.0068,0.4910,0.5239
Delaware,42045,163216,84423,251002,0.6500,0.314,170477,103719,276942,0.6160,0.2410,0.0347,0.5910,0.6016
Elk,42047,4498,6610,11282,0.3990,-0.187,5611,7182,13179,0.4260,-0.1190,-0.0271,0.2610,0.4127
Erie,42049,58906,40348,100889,0.5840,0.184,65406,48708,116951,0.5590,0.1430,0.0246,0.4640,0.5736
Fayette,42051,19563,20514,40705,0.4810,-0.023,24298,22950,48094,0.5050,0.0280,-0.0246,0.3340,0.4530
Forest,42053,693,1201,1932,0.3590,-0.263,884,1356,2301,0.3840,-0.2050,-0.0255,0.2590,0.3875
